Peak	Intensity	UV	Substrate	cma	Aminoacid
1459	351.36969	0h	MGS-1	511.8087449	Leu
1459	530.898132	0h	MGS-1	498.7754211	Leu
1459	413.484344	0h	MGS-1	466.5934892	Leu
1459	369.553101	0h	MGS-1	235.353383	Leu
1459	96.117869	72h	MMS-2	65.69925344	Leu
1459	86.975647	72h	MMS-2	43.25215702	Leu
1459	188.9347942	72h	MMS-2	89.75525505	Leu
1459	116.7521158	72h	MMS-2	77.12473635	Leu
1459	149.7550353	72h	MMS-2	108.8978787	Leu
1459	137.129425	72h	MMS-2	88.41119124	Leu
1459	98.05957033	72h	MMS-2	42.56565735	Leu
1459	-16.025149	72h	MMS-2	30.68760336	Leu
1459	92.379069	72h	MMS-2	91.63212739	Leu
1459	98.45186367	72h	MMS-2	58.57006273	Leu
1459	215.472733	0h	MMS-2	126.4419965	Leu
1459	51.633869	0h	MMS-2	139.9709811	Leu
1459	89.28949	0h	MMS-2	86.33647027	Leu
1459	201.865799	0h	MMS-2	29.48791582	Leu
1459	29.270205	0h	MMS-2	17.58461209	Leu
1459	216.320648	0h	MMS-2	142.7344329	Leu
1459	29.105274	0h	MMS-2	9.496715273	Leu
1459	235.40773	0h	MMS-2	175.6650959	Leu
1459	110.480438	0h	MMS-2	196.0569851	Leu
1459	52.805569	0h	MMS-2	63.54081027	Leu
1459	691.4733888	72h	PRT	349.1427315	Leu
1459	4762.739258	72h	PRT	3967.117518	Leu
1459	546.33461	72h	PRT	546.6137054	Leu
1459	614.9513244	72h	PRT	460.4991462	Leu
1459	556.998215	72h	PRT	293.3349831	Leu
1459	566.5983963	72h	PRT	504.3628374	Leu
1459	814.8380281	72h	PRT	832.5294009	Leu
1459	547.6635744	72h	PRT	475.5372593	Leu
1459	1339.492188	72h	PRT	984.8391099	Leu
1459	312.9018975	72h	PRT	324.8740075	Leu
1459	434.199677	0h	PRT	472.3444028	Leu
1459	612.598267	0h	PRT	661.7624509	Leu
1459	55.960358	0h	PRT	148.4554935	Leu
1459	1854.821777	0h	PRT	1510.035991	Leu
1459	504.673401	0h	PRT	136.7600694	Leu
1459	507.874847	0h	PRT	365.0935225	Leu
1459	1012.967346	0h	PRT	522.8040911	Leu
1459	1991.776733	0h	PRT	1622.269612	Leu
1459	853.6745	0h	PRT	543.0901628	Leu
1459	521.927368	0h	PRT	636.9712691	Leu
1003	22.4762192	72h	Olivine	9.800990527	Phe
1003	21.445723	72h	Olivine	9.495038945	Phe
1003	22.8657166	72h	Olivine	11.09532036	Phe
1003	21.4137772	72h	Olivine	10.56095579	Phe
1003	5.1841297	72h	Olivine	46.57508303	Phe
1003	20.8064957	72h	Olivine	23.36873135	Phe
